clock,passenger_enter,passenger_leave,car_enter,car_leave,motorcycle_enter,motorcycle_leave,bicycle_enter,bicycle_leave,walker,car_parked,motorcycle_parked,bicycle_parked,car_cannot_park,motorcycle_cannot_park,bicycle_cannot_park,car_left_failed,motorcycle_left_failed,bicycle_left_failed,remain_car_parking_space,remain_motorcycle_parking_space,car_occupied_long_term,motorcycle_occupied_long_term,bicycle_occupied_long_term,CPU_time(in second)
2,0,0,0,0,0,0,0,0,0,8,151,125,0,0,0,0,0,0,14,125,8,34,40,
3,0,0,0,0,0,0,0,0,0,8,151,125,0,0,0,0,0,0,14,125,8,34,40,
4,0,0,0,0,0,0,0,0,0,8,151,125,0,0,0,0,0,0,14,125,8,34,40,
5,7,3,1,1,3,1,1,0,3,8,153,126,0,0,0,0,0,0,14,123,8,34,40,
6,29,0,6,0,14,0,3,0,6,14,167,129,0,0,0,0,0,0,8,107,8,34,40,
7,20,0,4,0,12,0,3,0,1,18,179,132,0,0,0,0,0,0,4,94,8,34,40,
8,24,10,6,3,11,5,5,2,2,19,185,135,2,0,0,0,0,0,3,86,8,34,40,
9,20,8,4,2,8,4,2,1,7,20,189,136,1,0,0,0,0,0,2,82,8,34,40,
10,15,6,3,1,6,3,2,1,5,21,192,137,1,0,0,0,0,0,1,78,8,34,40,
11,12,12,2,2,5,6,1,1,7,20,191,137,1,0,0,0,0,0,2,79,8,34,40,
12,4,4,1,1,1,2,0,0,3,20,190,137,0,0,0,0,0,0,2,80,8,34,40,
13,12,12,2,2,5,5,1,1,8,20,190,137,0,0,0,0,0,0,2,80,8,34,40,
14,12,12,2,4,6,6,1,2,3,18,190,136,0,0,0,0,0,0,4,81,8,34,40,
15,7,7,1,1,3,3,1,1,4,18,190,136,0,0,0,0,0,0,4,81,8,34,40,
16,14,14,3,3,6,6,1,1,8,18,190,136,0,0,0,0,0,0,4,81,8,34,40,
17,24,24,5,5,10,13,5,3,7,17,187,138,1,0,0,0,0,0,5,83,8,34,40,
18,17,40,3,8,7,24,5,6,4,12,170,137,0,0,0,0,0,0,10,100,8,34,40,
19,6,14,1,3,3,8,2,3,0,10,165,136,0,0,0,0,0,0,12,106,8,34,40,
20,10,23,2,6,4,12,2,5,2,8,157,133,0,0,0,2,0,0,14,115,8,34,40,
21,2,5,0,1,1,3,0,1,1,8,155,132,0,0,0,1,0,0,14,118,8,34,40,
22,0,0,0,0,0,0,0,0,0,8,155,132,0,0,0,0,0,0,14,118,8,34,40,
