clock,passenger_enter,passenger_leave,car_enter,car_leave,motorcycle_enter,motorcycle_leave,bicycle_enter,bicycle_leave,walker,car_parked,motorcycle_parked,bicycle_parked,car_cannot_park,motorcycle_cannot_park,bicycle_cannot_park,car_left_failed,motorcycle_left_failed,bicycle_left_failed,CPU_time
4,0,0,0,0,0,0,0,0,0,16,0,100,0,0,0,0,0,0,
5,5,5,1,1,2,2,1,1,2,16,0,100,0,0,0,0,0,0,
6,20,0,2,0,5,0,2,0,11,18,5,102,0,0,0,0,0,0,
7,21,0,6,0,0,0,1,0,14,22,5,103,2,0,0,0,0,0,
8,11,11,2,2,3,3,2,2,8,20,5,103,2,0,0,0,0,0,
9,14,14,3,3,4,4,3,3,8,19,5,103,1,0,0,0,0,0,
10,10,10,2,2,3,3,2,2,6,19,5,103,0,0,0,0,0,0,
11,8,8,2,2,2,2,2,2,4,19,5,103,0,0,0,0,0,0,
12,4,4,1,1,1,1,1,1,2,19,5,103,0,0,0,0,0,0,
13,11,11,2,2,3,3,2,2,8,19,5,103,0,0,0,0,0,0,
14,22,22,4,4,7,7,4,4,14,18,5,103,1,0,0,0,0,0,
15,7,7,1,1,2,2,1,1,6,18,5,103,0,0,0,0,0,0,
16,10,10,2,2,3,3,2,2,6,18,5,103,0,0,0,0,0,0,
17,53,15,3,0,5,5,12,1,42,21,5,114,0,0,0,0,0,0,
18,6,65,1,6,2,17,1,6,38,16,0,109,0,0,0,0,10,0,
19,2,2,0,0,1,1,0,0,2,16,0,109,0,0,0,0,0,0,
20,21,21,4,4,6,6,4,4,14,16,0,109,0,0,0,0,0,0,
21,4,4,1,1,1,1,1,1,2,16,0,109,0,0,0,0,0,0,
22,0,0,0,0,0,0,0,0,0,16,0,109,0,0,0,0,0,0,
23,13,13,3,3,4,4,3,3,6,16,0,109,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,16,0,109,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,16,0,109,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,16,0,109,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,16,0,109,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,16,0,109,0,0,0,0,0,0,
5,3,3,1,1,1,1,1,1,0,16,0,109,0,0,0,0,0,0,
6,24,0,2,0,6,0,2,0,14,18,6,111,0,0,0,0,0,0,
7,17,0,5,0,0,0,1,0,11,22,6,112,1,0,0,0,0,0,
8,18,18,4,4,5,5,4,4,10,18,6,112,4,0,0,0,0,0,
9,14,14,3,3,4,4,3,3,8,18,6,112,0,0,0,0,0,0,
10,8,8,2,2,2,2,2,2,4,18,6,112,0,0,0,0,0,0,
11,6,6,1,1,2,2,1,1,4,18,6,112,0,0,0,0,0,0,
12,5,5,1,1,2,2,1,1,2,18,6,112,0,0,0,0,0,0,
13,7,7,1,1,2,2,1,1,6,18,6,112,0,0,0,0,0,0,
14,20,20,4,4,6,6,4,4,12,18,6,112,0,0,0,0,0,0,
15,11,11,2,2,3,3,2,2,8,18,6,112,0,0,0,0,0,0,
16,6,6,1,1,2,2,1,1,4,18,6,112,0,0,0,0,0,0,
17,47,13,3,0,5,5,10,1,36,21,6,121,0,0,0,0,0,0,
18,7,67,1,6,2,17,1,6,41,16,0,116,0,0,0,0,9,0,
19,4,4,1,1,1,1,1,1,2,16,0,116,0,0,0,0,0,0,
20,15,15,3,3,4,4,3,3,10,16,0,116,0,0,0,0,0,0,
21,3,3,1,1,1,1,1,1,0,16,0,116,0,0,0,0,0,0,
22,0,0,0,0,0,0,0,0,0,16,0,116,0,0,0,0,0,0,
23,17,17,3,3,5,5,3,3,12,16,0,116,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,16,0,116,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,16,0,116,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,16,0,116,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,16,0,116,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,16,0,116,0,0,0,0,0,0,
5,5,5,1,1,2,2,1,1,2,16,0,116,0,0,0,0,0,0,
6,18,0,2,0,5,0,2,0,9,18,5,118,0,0,0,0,0,0,
7,9,0,2,0,0,0,1,0,6,20,5,119,0,0,0,0,0,0,
8,23,23,5,5,7,7,5,5,12,17,5,119,3,0,0,0,0,0,
9,5,5,1,1,2,2,1,1,2,17,5,119,0,0,0,0,0,0,
10,8,8,2,2,2,2,2,2,4,17,5,119,0,0,0,0,0,0,
11,9,9,2,2,3,3,2,2,4,17,5,119,0,0,0,0,0,0,
