clock,passenger_enter,passenger_leave,car_enter,car_leave,motorcycle_enter,motorcycle_leave,bicycle_enter,bicycle_leave,walker,car_parked,motorcycle_parked,bicycle_parked,car_cannot_park,motorcycle_cannot_park,bicycle_cannot_park,car_left_failed,motorcycle_left_failed,bicycle_left_failed,remain_car_parking_space,remain_motorcycle_parking_space,CPU_time(in second)
0,0,0,0,0,0,0,0,0,0,8,64,48,0,0,0,0,0,0,82,539,
1,0,0,0,0,0,0,0,0,0,8,64,48,0,0,0,0,0,0,82,539,
2,0,0,0,0,0,0,0,0,0,8,64,48,0,0,0,0,0,0,82,539,
3,0,0,0,0,0,0,0,0,0,8,64,48,0,0,0,0,0,0,82,539,
4,0,0,0,0,0,0,0,0,0,8,64,48,0,0,0,0,0,0,82,539,
5,4,2,1,0,2,1,0,0,2,9,65,48,0,0,0,0,0,0,81,538,
6,26,0,5,0,13,0,3,0,5,14,78,51,0,0,0,0,0,0,76,523,
7,20,0,4,0,12,0,3,0,1,18,90,54,0,0,0,0,0,0,72,510,
8,21,9,5,3,9,4,4,2,3,20,95,56,0,0,0,0,0,0,70,504,
9,25,10,5,2,10,6,2,1,9,23,99,57,0,0,0,0,0,0,67,499,
10,11,4,2,1,4,2,1,0,5,24,101,58,0,0,0,0,0,0,66,497,
11,13,13,3,3,5,6,1,1,7,24,100,58,0,0,0,0,0,0,66,498,
12,4,4,1,1,1,2,0,0,3,24,99,58,0,0,0,0,0,0,66,499,
13,12,12,2,2,5,5,1,1,8,24,99,58,0,0,0,0,0,0,66,499,
14,18,18,4,5,9,9,2,4,3,23,99,56,0,0,0,0,0,0,67,500,
15,12,12,2,2,5,5,1,1,8,23,99,56,0,0,0,0,0,0,67,500,
16,13,13,3,3,5,5,1,1,8,23,99,56,0,0,0,0,0,0,67,500,
17,23,23,5,5,9,13,5,3,6,23,95,58,0,0,0,0,0,0,67,503,
18,15,35,3,7,6,21,4,5,4,19,80,57,0,0,0,0,0,0,71,518,
19,5,11,1,3,2,6,1,2,1,17,76,56,0,0,0,0,0,0,73,523,
20,12,28,2,8,5,14,2,6,3,11,67,52,0,0,0,0,0,0,79,534,
21,3,8,1,2,1,4,0,2,1,10,64,50,0,0,0,0,0,0,80,538,
22,0,0,0,0,0,0,0,0,0,10,64,50,0,0,0,0,0,0,80,538,
23,0,18,0,5,0,4,0,5,4,5,60,45,0,0,0,0,0,0,85,544,
0,0,0,0,0,0,0,0,0,0,5,60,45,0,0,0,0,0,0,85,544,
1,0,0,0,0,0,0,0,0,0,5,60,45,0,0,0,0,0,0,85,544,
2,0,0,0,0,0,0,0,0,0,5,60,45,0,0,0,0,0,0,85,544,
3,0,0,0,0,0,0,0,0,0,5,60,45,0,0,0,0,0,0,85,544,
4,0,0,0,0,0,0,0,0,0,5,60,45,0,0,0,0,0,0,85,544,
5,7,3,1,1,3,1,1,0,3,5,62,46,0,0,0,0,0,0,85,542,
6,37,0,7,0,18,0,4,0,8,12,80,50,0,0,0,0,0,0,78,522,
7,18,0,4,0,11,0,3,0,0,16,91,53,0,0,0,0,0,0,74,509,
8,34,14,8,4,15,7,7,3,4,20,99,57,0,0,0,0,0,0,70,499,
9,21,9,4,2,8,5,2,1,8,22,102,58,0,0,0,0,0,0,68,496,
10,10,4,2,1,4,2,1,0,4,23,104,59,0,0,0,0,0,0,67,493,
11,12,12,2,2,5,6,1,1,7,23,103,59,0,0,0,0,0,0,67,494,
12,7,7,1,1,2,3,1,1,5,23,102,59,0,0,0,0,0,0,67,495,
13,7,7,1,1,3,3,1,1,4,23,102,59,0,0,0,0,0,0,67,495,
14,15,15,3,4,8,8,2,3,2,22,102,58,0,0,0,0,0,0,68,496,
15,8,8,2,2,3,3,1,1,4,22,102,58,0,0,0,0,0,0,68,496,
16,7,7,1,1,3,3,1,1,4,22,102,58,0,0,0,0,0,0,68,496,
17,23,23,5,5,9,13,5,3,6,22,98,60,0,0,0,0,0,0,68,499,
18,17,41,3,8,7,25,5,6,4,17,80,59,0,0,0,0,0,0,73,517,
19,5,13,1,3,2,7,1,3,1,15,75,57,0,0,0,0,0,0,75,523,
20,9,21,2,6,4,11,2,4,1,11,68,55,0,0,0,0,0,0,79,531,
21,3,8,1,2,1,4,0,2,1,10,65,53,0,0,0,0,0,0,80,535,
22,0,0,0,0,0,0,0,0,0,10,65,53,0,0,0,0,0,0,80,535,
23,0,17,0,5,0,3,0,5,4,5,62,48,0,0,0,0,0,0,85,541,
0,0,0,0,0,0,0,0,0,0,5,62,48,0,0,0,0,0,0,85,541,
1,0,0,0,0,0,0,0,0,0,5,62,48,0,0,0,0,0,0,85,541,
2,0,0,0,0,0,0,0,0,0,5,62,48,0,0,0,0,0,0,85,541,
3,0,0,0,0,0,0,0,0,0,5,62,48,0,0,0,0,0,0,85,541,
4,0,0,0,0,0,0,0,0,0,5,62,48,0,0,0,0,0,0,85,541,
5,7,3,1,1,3,1,1,0,3,5,64,49,0,0,0,0,0,0,85,538,
6,27,0,5,0,14,0,3,0,5,10,78,52,0,0,0,0,0,0,80,523,
7,19,0,4,0,11,0,3,0,1,14,89,55,0,0,0,0,0,0,76,510,
8,26,11,6,3,12,6,5,2,3,17,95,58,0,0,0,0,0,0,73,503,
9,25,11,5,2,10,6,2,1,10,20,99,59,0,0,0,0,0,0,70,498,
10,13,5,3,1,5,2,1,0,6,22,102,60,0,0,0,0,0,0,68,495,
11,7,7,1,1,3,4,1,1,3,22,101,60,0,0,0,0,0,0,68,496,
12,7,7,1,1,2,3,1,1,5,22,100,60,0,0,0,0,0,0,68,497,
13,10,10,2,2,4,4,1,1,6,22,100,60,0,0,0,0,0,0,68,497,
14,16,16,3,5,8,8,2,3,3,20,100,59,0,0,0,0,0,0,70,497,
15,12,12,2,2,5,5,1,1,8,20,100,59,0,0,0,0,0,0,70,497,
